name,wikipediaURL,latitude,longitude,inhabitationStart,inhabitationEnd,maxPopulation
Aammiq,https://en.wikipedia.org/wiki/Aammiq,33.731431,35.788983,-12000,,
Jabal es Saaïdé,https://en.wikipedia.org/wiki/Jabal_es_Saa%C3%AFd%C3%A9,34.155444,36.228847,-9999,,
Tell es-Sultan,https://en.wikipedia.org/wiki/Tell_es-Sultan,31.87171944,35.44456389,-9600,,
Jericho,https://en.wikipedia.org/wiki/Jericho,31.856111111,35.463055555,-9600,,
Star Carr,https://en.wikipedia.org/wiki/Star_Carr,54.2143,-0.423661,-8770,,
Aşıklı Höyük,https://en.wikipedia.org/wiki/A%C5%9F%C4%B1kl%C4%B1_H%C3%B6y%C3%BCk,38.349,34.23,-8200,,
Byblos,https://en.wikipedia.org/wiki/Byblos,34.116666666,35.65,-8000,,
Çatalhöyük,https://en.wikipedia.org/wiki/%C3%87atalh%C3%B6y%C3%BCk,37.6675,32.828333333,-7499,,
Ba'ja,https://en.wikipedia.org/wiki/Ba%27ja,30.41361111,35.46138889,-7400,,
Bouqras,https://en.wikipedia.org/wiki/Bouqras,35.016667,40.383333,-7400,,
Chogha Bonut,https://en.wikipedia.org/wiki/Chogha_Bonut,32.222222,48.505,-7200,,
Hacılar Mound,https://en.wikipedia.org/wiki/Hacilar,37.5843,30.0845,-7040,,
Athens,https://en.wikipedia.org/wiki/Athens,37.984166666,23.728055555,-7000,,
Knossos,https://en.wikipedia.org/wiki/Knossos,35.297961111,25.163155555,-6999,,
Atlit Yam,https://en.wikipedia.org/wiki/Atlit_Yam,32.710827777,34.93515,-6899,,
Ugarit,https://en.wikipedia.org/wiki/Ugarit,35.601944,35.785556,-6000,,
Adana,https://en.wikipedia.org/wiki/Adana,37.00262,35.31346,-6000,,
Singidunum,https://en.wikipedia.org/wiki/Singidunum,44.82,20.46,-6000,,
Amsa-dong,https://en.wikipedia.org/wiki/Amsa-dong,37.560494,127.130214,-5000,,
Aleppo,https://en.wikipedia.org/wiki/Aleppo,36.2,37.16,-5000,,
Fatehpora,https://en.wikipedia.org/wiki/Fatehpora,33.653888888,75.156111111,-5000,,
Anantnag,https://en.wikipedia.org/wiki/Anantnag,33.73,75.15,-5000,,
Goseck circle,https://en.wikipedia.org/wiki/Goseck_Circle,51.198333333,11.864722222,-4900,,
Merimde culture,https://en.wikipedia.org/wiki/Merimde_culture,30.320833333,30.848888888,-4800,,
Solnitsata,https://en.wikipedia.org/wiki/Solnitsata,43.128417,27.472528,-4700,,
Milakpur,https://en.wikipedia.org/wiki/Milakpur,27.55,76.86666667,-4700,,
"Sisai, Hisar","https://en.wikipedia.org/wiki/Sisai,_Hisar",29.179,76.008,-4700,,
Mangesh,"https://en.wikipedia.org/wiki/Mangesh,_Iraq",37.03333333,43.1,-4500,,
Susa,https://en.wikipedia.org/wiki/Susa,32.189444444,48.256111111,-4394,,
Aqaba,https://en.wikipedia.org/wiki/Aqaba,29.532222222,35.006111111,-4000,,
Der,https://en.wikipedia.org/wiki/Der_(Sumer),33.123611111,45.931388888,-4000,,
Jerusalem,https://en.wikipedia.org/wiki/Jerusalem,31.778888888,35.225555555,-4000,,
Anshan Persia,https://en.wikipedia.org/wiki/Anshan_(Persia),30.011666666,52.407777777,-3999,,
Susa,https://en.wikipedia.org/wiki/Susa,32.189444444,48.256111111,-3999,,
Thinis,https://en.wikipedia.org/wiki/Thinis,26.333333333,31.9,-3999,,
Chiplun,https://en.wikipedia.org/wiki/Chiplun,17.53,73.52,-3999,,
Beit She'an,https://en.wikipedia.org/wiki/Beit_She%27an,32.496111111,35.498888888,-3999,,
Ur,https://en.wikipedia.org/wiki/Ur,30.962222,46.104444,-3799,,
Salamiyah,https://en.wikipedia.org/wiki/Salamiyah,35.011111111,37.053055555,-3499,,
"Vashisht, Himachal Pradesh","https://en.wikipedia.org/wiki/Vashisht,_Himachal_Pradesh",32.25888889,77.19,-3499,,
Dundalk,https://en.wikipedia.org/wiki/Dundalk,54.004444444,-6.400277777,-3499,,
Horgen,https://en.wikipedia.org/wiki/Horgen,47.260833333,8.5975,-3399,,
Abu Salabikh,https://en.wikipedia.org/wiki/Abu_Salabikh,32.266667,45.083333,-3399,,
Uruk,https://en.wikipedia.org/wiki/Uruk,31.3259,45.6374,-3199,,
Thebes,"https://en.wikipedia.org/wiki/Thebes,_Egypt",25.720555555,32.610277777,-3199,,
Skara Brae,https://en.wikipedia.org/wiki/Skara_Brae,59.0487138,-3.3417499,-3179,,
Kish,https://en.wikipedia.org/wiki/Kish_(Sumer),32.540277777,44.604722222,-3099,,
Asyut,https://en.wikipedia.org/wiki/Asyut,27.186944444,31.171388888,-3099,,
Phaistos,https://en.wikipedia.org/wiki/Phaistos,35.05123,24.814267,-3000,,
İzmir,https://en.wikipedia.org/wiki/%C4%B0zmir,38.41273,27.13838,-3000,,
